# 風速[m/s],抗力[N]
0,0
0.01,0.000152
0.02,0.000304
0.03,0.000456
0.04,0.000608
0.05,0.00076
0.06,0.000912
0.07,0.001064
0.08,0.001216
0.09,0.001368
0.1,0.00152
0.11,0.001672
0.12,0.001824
0.13,0.001976
0.14,0.002128
0.15,0.00228
0.16,0.002432
0.17,0.002584
0.18,0.002736
0.19,0.002888
0.2,0.00304
0.21,0.003192
0.22,0.003344
0.23,0.003496
0.24,0.003648
0.25,0.0038
0.26,0.003952
0.27,0.004104
0.28,0.004256
0.29,0.004408
0.3,0.00456
0.31,0.004712
0.32,0.004864
0.33,0.005016
0.34,0.005168
0.35,0.00532
0.36,0.005472
0.37,0.005624
0.38,0.005776
0.39,0.005928
0.4,0.00608
0.41,0.006232
0.42,0.006384
0.43,0.006536
0.44,0.006688
0.45,0.00684
0.46,0.006992
0.47,0.007144
0.48,0.007296
0.49,0.007448
0.5,0.0076
0.51,0.007752
0.52,0.007904
0.53,0.008056
0.54,0.008208
0.55,0.00836
0.56,0.008512
0.57,0.008664
0.58,0.008816
0.59,0.008968
0.6,0.00912
0.61,0.009272
0.62,0.009424
0.63,0.009576
0.64,0.009728
0.65,0.00988
0.66,0.010032
0.67,0.010184
0.68,0.010336
0.69,0.010488
0.7,0.01064
0.71,0.010792
0.72,0.010944
0.73,0.011096
0.74,0.011248
0.75,0.0114
0.76,0.011552
0.77,0.011704
0.78,0.011856
0.79,0.012008
0.8,0.01216
0.81,0.012363
0.82,0.012565
0.83,0.012768
0.84,0.01297
0.85,0.013173
0.86,0.013375
0.87,0.013578
0.88,0.01378
0.89,0.013983
0.9,0.014185
0.91,0.014388
0.92,0.01459
0.93,0.014793
0.94,0.014995
0.95,0.015198
0.96,0.0154
0.97,0.015603
0.98,0.015805
0.99,0.016008
1,0.01621
1.01,0.017316
1.02,0.018422
1.03,0.019528
1.04,0.020634
1.05,0.02174
1.06,0.022846
1.07,0.023952
1.08,0.025058
1.09,0.026164
1.1,0.02727

