# 風速[m/s],抗力[N]
0,0
0.01,0.0000018774
0.02,0.0000075096
0.03,0.000016896
0.04,0.000030038
0.05,0.000046935
0.06,0.000067586
0.07,0.000091992
0.08,0.00012015
0.09,0.00015207
0.1,0.00018774
0.11,0.00022716
0.12,0.00027034
0.13,0.00031728
0.14,0.00036797
0.15,0.00042241
0.16,0.00048061
0.17,0.00054257
0.18,0.00060827
0.19,0.00067774
0.2,0.00075096
0.21,0.00082793
0.22,0.00090866
0.23,0.00099314
0.24,0.0010814
0.25,0.0011734
0.26,0.0012691
0.27,0.0013686
0.28,0.0014719
0.29,0.0015789
0.3,0.0016896
0.31,0.0018042
0.32,0.0019224
0.33,0.0020445
0.34,0.0021703
0.35,0.0022998
0.36,0.0024331
0.37,0.0025701
0.38,0.0027109
0.39,0.0028555
0.4,0.0030038
0.41,0.0031559
0.42,0.0033117
0.43,0.0034713
0.44,0.0036346
0.45,0.0038017
0.46,0.0039726
0.47,0.0041472
0.48,0.0043255
0.49,0.0045076
0.5,0.0046935
0.51,0.0048831
0.52,0.0050765
0.53,0.0052736
0.54,0.0054745
0.55,0.0056791
0.56,0.0058875
0.57,0.0060996
0.58,0.0063155
0.59,0.0065352
0.6,0.0067586
0.61,0.0069858
0.62,0.0072167
0.63,0.0074514
0.64,0.0076898
0.65,0.007932
0.66,0.0081779
0.67,0.0084276
0.68,0.008681
0.69,0.0089382
0.7,0.0091992
0.71,0.0094639
0.72,0.0097324
0.73,0.010005
0.74,0.010281
0.75,0.01056
0.76,0.010844
0.77,0.011131
0.78,0.011422
0.79,0.011717
0.8,0.012015
0.81,0.012318
0.82,0.012624
0.83,0.012933
0.84,0.013247
0.85,0.013564
0.86,0.013885
0.87,0.01421
0.88,0.014538
0.89,0.014871
0.9,0.015207
0.91,0.015547
0.92,0.01589
0.93,0.016238
0.94,0.016589
0.95,0.016943
0.96,0.017302
0.97,0.017664
0.98,0.01803
0.99,0.0184
1,0.018774
1.01,0.019151
1.02,0.019532
1.03,0.019917
1.04,0.020306
1.05,0.020698
1.06,0.021094
1.07,0.021494
1.08,0.021898
1.09,0.022305
1.1,0.022716
